,State,Date,value
308,New Jersey,2015-07-01,149.6
309,New Mexico,2015-07-01,43.5
310,Nevada,2015-07-01,70.1
311,New York,2015-07-01,363.1
312,Ohio,2015-07-01,200.2
313,Oklahoma,2015-07-01,78.1
314,Oregon,2015-07-01,82.7
315,Pennsylvania,2015-07-01,235.6
316,Rhode Island,2015-07-01,17.1
317,South Carolina,2015-07-01,89.3
318,South Dakota,2015-07-01,22.4
319,Maryland,2015-07-01,154.5
320,Nebraska,2015-07-01,49.1
321,Texas,2015-07-01,685.5
322,Utah,2015-07-01,84.9
323,Virginia,2015-07-01,186.1
324,Vermont,2015-07-01,15.1
325,Washington,2015-07-01,173.5
326,Wisconsin,2015-07-01,109.8
327,West Virginia,2015-07-01,32.4
328,Wyoming,2015-07-01,23.2
329,Alaska,2015-08-01,17.4
330,Alabama,2015-08-01,82.0
331,Arkansas,2015-08-01,50.3
332,Arizona,2015-08-01,126.9
333,California,2015-08-01,740.8
334,Colorado,2015-08-01,148.8
335,Connecticut,2015-08-01,57.8
336,Florida,2015-08-01,436.4
337,Georgia,2015-08-01,170.6
338,Iowa,2015-08-01,77.3
339,Idaho,2015-08-01,38.1
340,Illinois,2015-08-01,215.0
341,Indiana,2015-08-01,127.8
342,Kansas,2015-08-01,61.0
343,Kentucky,2015-08-01,76.3
344,Louisiana,2015-08-01,141.6
345,Massachusetts,2015-08-01,140.9
346,Maine,2015-08-01,26.9
347,Michigan,2015-08-01,148.2
348,Minnesota,2015-08-01,116.6
349,Missouri,2015-08-01,114.8
350,Mississippi,2015-08-01,46.0
351,Montana,2015-08-01,26.5
352,North Carolina,2015-08-01,191.1
353,North Dakota,2015-08-01,33.6
354,New Hampshire,2015-08-01,24.6
355,New Jersey,2015-08-01,149.8
356,New Mexico,2015-08-01,43.4
357,Nevada,2015-08-01,71.1
358,New York,2015-08-01,364.6
359,Ohio,2015-08-01,201.3
360,Oklahoma,2015-08-01,77.5
361,Oregon,2015-08-01,83.4
362,Pennsylvania,2015-08-01,238.4
363,Rhode Island,2015-08-01,17.1
364,South Carolina,2015-08-01,89.7
365,South Dakota,2015-08-01,22.2
366,Maryland,2015-08-01,155.5
367,Nebraska,2015-08-01,49.2
368,Texas,2015-08-01,689.1
369,Utah,2015-08-01,85.7
370,Virginia,2015-08-01,186.7
371,Vermont,2015-08-01,15.2
372,Washington,2015-08-01,173.5
373,Wisconsin,2015-08-01,109.7
374,West Virginia,2015-08-01,32.2
375,Wyoming,2015-08-01,23.3
376,Alaska,2015-09-01,17.0
377,Alabama,2015-09-01,82.0
378,Arkansas,2015-09-01,50.8
379,Arizona,2015-09-01,127.3
380,California,2015-09-01,741.1
381,Colorado,2015-09-01,149.6
382,Connecticut,2015-09-01,58.0
383,Florida,2015-09-01,439.1
384,Georgia,2015-09-01,171.0
385,Iowa,2015-09-01,77.5
386,Idaho,2015-09-01,37.8
387,Illinois,2015-09-01,216.0
388,Indiana,2015-09-01,128.0
389,Kansas,2015-09-01,61.2
390,Kentucky,2015-09-01,76.3
391,Louisiana,2015-09-01,141.6
392,Massachusetts,2015-09-01,141.3
393,Maine,2015-09-01,26.8
394,Michigan,2015-09-01,148.7
395,Minnesota,2015-09-01,116.1
396,Missouri,2015-09-01,115.1
397,Mississippi,2015-09-01,46.0
398,Montana,2015-09-01,26.5
399,North Carolina,2015-09-01,191.8
400,North Dakota,2015-09-01,33.3
401,New Hampshire,2015-09-01,25.0
402,New Jersey,2015-09-01,149.3
403,New Mexico,2015-09-01,43.7
404,Nevada,2015-09-01,71.3
405,New York,2015-09-01,365.5
406,Ohio,2015-09-01,201.9
407,Oklahoma,2015-09-01,77.7
408,Oregon,2015-09-01,84.2
409,Pennsylvania,2015-09-01,239.2
410,Rhode Island,2015-09-01,17.2
411,South Carolina,2015-09-01,90.4
412,South Dakota,2015-09-01,22.0
413,Maryland,2015-09-01,156.1
414,Nebraska,2015-09-01,49.4
415,Texas,2015-09-01,688.5
416,Utah,2015-09-01,86.6
417,Virginia,2015-09-01,186.5
418,Vermont,2015-09-01,15.2
419,Washington,2015-09-01,173.7
420,Wisconsin,2015-09-01,109.8
421,West Virginia,2015-09-01,31.3
422,Wyoming,2015-09-01,23.3
423,Alaska,2015-10-01,17.2
424,Alabama,2015-10-01,82.2
425,Arkansas,2015-10-01,50.7
426,Arizona,2015-10-01,128.1
427,California,2015-10-01,753.2
428,Colorado,2015-10-01,150.4
429,Connecticut,2015-10-01,58.5
430,Florida,2015-10-01,446.3
431,Georgia,2015-10-01,171.8
432,Iowa,2015-10-01,78.3
433,Idaho,2015-10-01,38.5
434,Illinois,2015-10-01,216.4
435,Indiana,2015-10-01,128.6
436,Kansas,2015-10-01,61.6
437,Kentucky,2015-10-01,76.6
438,Louisiana,2015-10-01,142.7
439,Massachusetts,2015-10-01,142.6
440,Maine,2015-10-01,27.0
441,Michigan,2015-10-01,149.7
442,Minnesota,2015-10-01,116.3
443,Missouri,2015-10-01,116.4
444,Mississippi,2015-10-01,45.8
445,Montana,2015-10-01,26.6
446,North Carolina,2015-10-01,192.3
447,North Dakota,2015-10-01,33.2
448,New Hampshire,2015-10-01,25.1
449,New Jersey,2015-10-01,150.9
450,New Mexico,2015-10-01,43.5
451,Nevada,2015-10-01,73.1
452,New York,2015-10-01,368.5
453,Ohio,2015-10-01,203.6
454,Oklahoma,2015-10-01,77.9
455,Oregon,2015-10-01,85.5
456,Pennsylvania,2015-10-01,238.8
457,Rhode Island,2015-10-01,17.4
458,South Carolina,2015-10-01,91.3
459,South Dakota,2015-10-01,22.1
460,Maryland,2015-10-01,158.5
461,Nebraska,2015-10-01,49.6
462,Texas,2015-10-01,690.7
463,Utah,2015-10-01,87.5
464,Virginia,2015-10-01,187.2
465,Vermont,2015-10-01,15.2
466,Washington,2015-10-01,174.9
467,Wisconsin,2015-10-01,110.2
468,West Virginia,2015-10-01,30.9
469,Wyoming,2015-10-01,23.1
470,Alaska,2015-11-01,17.1
471,Alabama,2015-11-01,83.3
472,Arkansas,2015-11-01,50.8
473,Arizona,2015-11-01,129.1
474,California,2015-11-01,757.9
475,Colorado,2015-11-01,150.9
476,Connecticut,2015-11-01,58.7
477,Florida,2015-11-01,450.6
478,Georgia,2015-11-01,173.0
479,Iowa,2015-11-01,78.9
480,Idaho,2015-11-01,38.8
481,Illinois,2015-11-01,217.3
482,Indiana,2015-11-01,129.3
483,Kansas,2015-11-01,61.9
484,Kentucky,2015-11-01,76.7
485,Louisiana,2015-11-01,143.7
486,Massachusetts,2015-11-01,143.1
487,Maine,2015-11-01,27.1
488,Michigan,2015-11-01,150.2
489,Minnesota,2015-11-01,116.0
