,State,Date,value
500,Alabama,1990-10-01,363.4
501,Tennessee,1990-10-01,495.3
502,Texas,1990-10-01,950.7
503,Utah,1990-10-01,104.6
504,Virginia,1990-10-01,383.6
505,Vermont,1990-10-01,42.0
506,Washington,1990-10-01,333.5
507,Wisconsin,1990-10-01,524.0
508,West Virginia,1990-10-01,82.0
509,Wyoming,1990-10-01,9.3
510,Alaska,1990-11-01,16.3
511,Arkansas,1990-11-01,219.3
512,Arizona,1990-11-01,175.6
513,California,1990-11-01,1944.4
514,Colorado,1990-11-01,170.0
515,Connecticut,1990-11-01,291.9
516,Delaware,1990-11-01,43.8
517,Florida,1990-11-01,497.0
518,Georgia,1990-11-01,511.4
519,Hawaii,1990-11-01,20.5
520,Iowa,1990-11-01,219.0
521,Idaho,1990-11-01,52.2
522,Illinois,1990-11-01,902.9
523,Indiana,1990-11-01,593.9
524,Kansas,1990-11-01,175.3
525,Kentucky,1990-11-01,270.9
526,Louisiana,1990-11-01,179.2
527,Massachusetts,1990-11-01,468.2
528,Maryland,1990-11-01,197.8
529,Maine,1990-11-01,89.7
530,Michigan,1990-11-01,806.3
531,Minnesota,1990-11-01,341.0
532,Missouri,1990-11-01,384.4
533,Mississippi,1990-11-01,230.6
534,Montana,1990-11-01,19.7
535,North Carolina,1990-11-01,810.2
536,North Dakota,1990-11-01,16.2
537,Nebraska,1990-11-01,98.6
538,New Hampshire,1990-11-01,95.3
539,New Jersey,1990-11-01,511.1
540,New Mexico,1990-11-01,38.2
541,Nevada,1990-11-01,24.7
542,New York,1990-11-01,949.5
543,Ohio,1990-11-01,1042.6
544,Oklahoma,1990-11-01,161.7
545,Oregon,1990-11-01,202.2
546,Pennsylvania,1990-11-01,937.8
547,Rhode Island,1990-11-01,93.6
548,South Carolina,1990-11-01,340.9
549,South Dakota,1990-11-01,33.8
550,District of Columbia,1990-11-01,7.2
551,Alabama,1990-11-01,361.2
552,Tennessee,1990-11-01,492.8
553,Texas,1990-11-01,949.5
554,Utah,1990-11-01,104.6
555,Virginia,1990-11-01,381.7
556,Vermont,1990-11-01,41.6
557,Washington,1990-11-01,333.7
558,Wisconsin,1990-11-01,521.4
559,West Virginia,1990-11-01,80.3
560,Wyoming,1990-11-01,9.3
561,Alaska,1990-12-01,16.8
562,Arkansas,1990-12-01,218.9
563,Arizona,1990-12-01,174.9
564,California,1990-12-01,1939.2
565,Colorado,1990-12-01,170.3
566,Connecticut,1990-12-01,291.0
567,Delaware,1990-12-01,44.3
568,Florida,1990-12-01,495.2
569,Georgia,1990-12-01,509.0
570,Hawaii,1990-12-01,20.4
571,Iowa,1990-12-01,217.6
572,Idaho,1990-12-01,52.2
573,Illinois,1990-12-01,899.3
574,Indiana,1990-12-01,591.4
575,Kansas,1990-12-01,177.6
576,Kentucky,1990-12-01,270.1
577,Louisiana,1990-12-01,179.7
578,Massachusetts,1990-12-01,465.8
579,Maryland,1990-12-01,197.0
580,Maine,1990-12-01,89.4
581,Michigan,1990-12-01,798.7
582,Minnesota,1990-12-01,339.9
583,Missouri,1990-12-01,385.7
584,Mississippi,1990-12-01,229.4
585,Montana,1990-12-01,19.8
586,North Carolina,1990-12-01,805.9
587,North Dakota,1990-12-01,16.2
588,Nebraska,1990-12-01,98.1
589,New Hampshire,1990-12-01,95.0
590,New Jersey,1990-12-01,508.7
591,New Mexico,1990-12-01,38.3
592,Nevada,1990-12-01,24.6
593,New York,1990-12-01,945.1
594,Ohio,1990-12-01,1038.9
595,Oklahoma,1990-12-01,161.5
596,Oregon,1990-12-01,201.6
597,Pennsylvania,1990-12-01,934.9
598,Rhode Island,1990-12-01,92.9
599,South Carolina,1990-12-01,338.8
600,South Dakota,1990-12-01,33.8
601,District of Columbia,1990-12-01,7.0
602,Alabama,1990-12-01,359.9
603,Tennessee,1990-12-01,490.8
604,Texas,1990-12-01,944.1
605,Utah,1990-12-01,105.0
606,Virginia,1990-12-01,380.7
607,Vermont,1990-12-01,41.6
608,Washington,1990-12-01,332.8
609,Wisconsin,1990-12-01,519.0
610,West Virginia,1990-12-01,80.9
611,Wyoming,1990-12-01,9.3
612,Alaska,1991-01-01,15.4
613,Arkansas,1991-01-01,217.8
614,Arizona,1991-01-01,174.4
615,California,1991-01-01,1942.6
