,State,Date,value
698,Ohio,2016-02-01,548.8
699,Oklahoma,2016-02-01,164.9
700,Oregon,2016-02-01,197.7
701,Pennsylvania,2016-02-01,554.0
702,Rhode Island,2016-02-01,56.9
703,South Carolina,2016-02-01,244.5
704,South Dakota,2016-02-01,46.5
705,Tennessee,2016-02-01,315.7
706,Texas,2016-02-01,1279.5
707,Utah,2016-02-01,136.4
708,Virginia,2016-02-01,397.7
709,Vermont,2016-02-01,36.0
710,Washington,2016-02-01,319.2
711,Wisconsin,2016-02-01,275.0
712,West Virginia,2016-02-01,74.7
713,Wyoming,2016-02-01,35.6
714,Alaska,2016-03-01,35.2
715,Alabama,2016-03-01,196.3
716,Arkansas,2016-03-01,114.9
717,Arizona,2016-03-01,305.1
718,California,2016-03-01,1877.7
719,Colorado,2016-03-01,320.8
720,Connecticut,2016-03-01,153.6
721,District of Columbia,2016-03-01,74.3
722,Delaware,2016-03-01,49.1
723,Florida,2016-03-01,1166.5
724,Georgia,2016-03-01,459.6
725,Hawaii,2016-03-01,120.8
726,Iowa,2016-03-01,142.6
727,Idaho,2016-03-01,71.5
728,Illinois,2016-03-01,592.8
729,Indiana,2016-03-01,305.6
730,Kansas,2016-03-01,127.2
731,Kentucky,2016-03-01,192.0
732,Louisiana,2016-03-01,232.5
733,Massachusetts,2016-03-01,359.3
734,Maryland,2016-03-01,271.1
735,Maine,2016-03-01,65.5
736,Michigan,2016-03-01,422.2
737,Minnesota,2016-03-01,264.2
738,Missouri,2016-03-01,298.6
739,Mississippi,2016-03-01,132.6
740,Montana,2016-03-01,63.8
741,North Carolina,2016-03-01,476.0
742,North Dakota,2016-03-01,40.2
743,Nebraska,2016-03-01,90.0
744,New Hampshire,2016-03-01,69.4
745,New Jersey,2016-03-01,368.7
746,New Mexico,2016-03-01,95.0
747,Nevada,2016-03-01,341.5
748,New York,2016-03-01,918.4
749,Ohio,2016-03-01,549.8
750,Oklahoma,2016-03-01,165.3
751,Oregon,2016-03-01,198.3
752,Pennsylvania,2016-03-01,557.1
753,Rhode Island,2016-03-01,57.6
754,South Carolina,2016-03-01,246.1
755,South Dakota,2016-03-01,46.6
