,variable,value
Minnesota,1990-06-01,341.9
Missouri,1990-06-01,396.3
Mississippi,1990-06-01,231.3
Montana,1990-06-01,19.4
North Carolina,1990-06-01,828.2
North Dakota,1990-06-01,15.6
Nebraska,1990-06-01,97.6
New Hampshire,1990-06-01,99.4
New Jersey,1990-06-01,529.4
New Mexico,1990-06-01,38.4
Nevada,1990-06-01,24.1
New York,1990-06-01,989.3
Ohio,1990-06-01,1069.4
Oklahoma,1990-06-01,162.9
Oregon,1990-06-01,204.9
Pennsylvania,1990-06-01,954.5
Rhode Island,1990-06-01,95.2
South Carolina,1990-06-01,350.7
South Dakota,1990-06-01,33.6
District of Columbia,1990-06-01,7.2
Alabama,1990-06-01,367.5
Tennessee,1990-06-01,502.0
Texas,1990-06-01,941.8
Utah,1990-06-01,104.9
Virginia,1990-06-01,389.3
Vermont,1990-06-01,43.1
Washington,1990-06-01,336.7
Wisconsin,1990-06-01,525.5
West Virginia,1990-06-01,83.1
Wyoming,1990-06-01,9.1
Alaska,1990-07-01,14.3
Arkansas,1990-07-01,219.8
Arizona,1990-07-01,177.2
California,1990-07-01,1970.3
Colorado,1990-07-01,170.4
Connecticut,1990-07-01,301.5
Delaware,1990-07-01,44.0
Florida,1990-07-01,508.9
Georgia,1990-07-01,521.0
Hawaii,1990-07-01,20.4
Iowa,1990-07-01,219.1
Idaho,1990-07-01,52.0
Illinois,1990-07-01,918.1
Indiana,1990-07-01,612.3
Kansas,1990-07-01,178.5
Kentucky,1990-07-01,274.3
Louisiana,1990-07-01,177.1
Massachusetts,1990-07-01,481.1
Maryland,1990-07-01,202.4
Maine,1990-07-01,92.9
Michigan,1990-07-01,838.1
Minnesota,1990-07-01,341.7
Missouri,1990-07-01,392.8
Mississippi,1990-07-01,231.3
Montana,1990-07-01,19.7
North Carolina,1990-07-01,823.6
North Dakota,1990-07-01,15.5
Nebraska,1990-07-01,97.7
New Hampshire,1990-07-01,98.7
New Jersey,1990-07-01,526.7
New Mexico,1990-07-01,38.2
Nevada,1990-07-01,23.9
New York,1990-07-01,982.2
Ohio,1990-07-01,1068.2
Oklahoma,1990-07-01,162.9
Oregon,1990-07-01,204.7
Pennsylvania,1990-07-01,951.2
Rhode Island,1990-07-01,94.9
South Carolina,1990-07-01,348.5
South Dakota,1990-07-01,34.2
District of Columbia,1990-07-01,7.3
Alabama,1990-07-01,364.6
Tennessee,1990-07-01,498.5
Texas,1990-07-01,947.2
Utah,1990-07-01,104.6
Virginia,1990-07-01,388.9
Vermont,1990-07-01,42.7
Washington,1990-07-01,337.3
Wisconsin,1990-07-01,523.5
West Virginia,1990-07-01,82.6
Wyoming,1990-07-01,9.3
Alaska,1990-08-01,14.4
Arkansas,1990-08-01,220.2
Arizona,1990-08-01,176.8
California,1990-08-01,1964.0
Colorado,1990-08-01,169.9
Connecticut,1990-08-01,297.5
Delaware,1990-08-01,47.4
Florida,1990-08-01,506.7
Georgia,1990-08-01,519.7
Hawaii,1990-08-01,20.4
Iowa,1990-08-01,218.7
Idaho,1990-08-01,52.4
Illinois,1990-08-01,918.4
Indiana,1990-08-01,609.9
Kansas,1990-08-01,176.3
Kentucky,1990-08-01,273.8
Louisiana,1990-08-01,178.3
Massachusetts,1990-08-01,478.0
Maryland,1990-08-01,201.1
Maine,1990-08-01,92.9
Michigan,1990-08-01,832.2
Minnesota,1990-08-01,342.3
Missouri,1990-08-01,393.6
Mississippi,1990-08-01,231.4
Montana,1990-08-01,19.6
North Carolina,1990-08-01,820.1
North Dakota,1990-08-01,15.6
Nebraska,1990-08-01,98.2
New Hampshire,1990-08-01,97.9
New Jersey,1990-08-01,524.0
New Mexico,1990-08-01,38.1
Nevada,1990-08-01,24.1
New York,1990-08-01,972.6
Ohio,1990-08-01,1066.3
Oklahoma,1990-08-01,160.2
Oregon,1990-08-01,206.8
Pennsylvania,1990-08-01,948.9
Rhode Island,1990-08-01,94.8
South Carolina,1990-08-01,346.5
South Dakota,1990-08-01,34.0
District of Columbia,1990-08-01,7.2
Alabama,1990-08-01,364.7
Tennessee,1990-08-01,496.7
Texas,1990-08-01,950.2
Utah,1990-08-01,105.2
Virginia,1990-08-01,387.4
Vermont,1990-08-01,42.7
Washington,1990-08-01,336.1
Wisconsin,1990-08-01,524.4
West Virginia,1990-08-01,82.6
Wyoming,1990-08-01,9.1
Alaska,1990-09-01,14.0
Arkansas,1990-09-01,221.1
Arizona,1990-09-01,176.1
California,1990-09-01,1953.3
Colorado,1990-09-01,169.7
Connecticut,1990-09-01,295.4
Delaware,1990-09-01,47.3
Florida,1990-09-01,504.4
Georgia,1990-09-01,517.0
Hawaii,1990-09-01,20.5
Iowa,1990-09-01,220.3
Idaho,1990-09-01,53.9
Illinois,1990-09-01,912.8
Indiana,1990-09-01,608.0
Kansas,1990-09-01,178.3
Kentucky,1990-09-01,273.3
Louisiana,1990-09-01,179.2
Massachusetts,1990-09-01,474.7
Maryland,1990-09-01,200.2
Maine,1990-09-01,92.3
Michigan,1990-09-01,832.2
Minnesota,1990-09-01,341.7
Missouri,1990-09-01,391.7
Mississippi,1990-09-01,231.3
Montana,1990-09-01,19.3
North Carolina,1990-09-01,818.2
North Dakota,1990-09-01,15.6
Nebraska,1990-09-01,98.0
New Hampshire,1990-09-01,97.1
New Jersey,1990-09-01,519.8
New Mexico,1990-09-01,38.2
Nevada,1990-09-01,24.3
New York,1990-09-01,969.9
Ohio,1990-09-01,1064.8
Oklahoma,1990-09-01,162.9
Oregon,1990-09-01,203.4
Pennsylvania,1990-09-01,945.8
Rhode Island,1990-09-01,94.3
South Carolina,1990-09-01,345.0
South Dakota,1990-09-01,34.1
District of Columbia,1990-09-01,7.2
Alabama,1990-09-01,364.9
Tennessee,1990-09-01,497.0
Texas,1990-09-01,949.6
Utah,1990-09-01,105.1
Virginia,1990-09-01,386.1
Vermont,1990-09-01,42.2
Washington,1990-09-01,335.8
Wisconsin,1990-09-01,523.8
West Virginia,1990-09-01,82.1
Wyoming,1990-09-01,9.3
Alaska,1990-10-01,14.0
Arkansas,1990-10-01,220.0
Arizona,1990-10-01,175.8
California,1990-10-01,1951.5
Colorado,1990-10-01,170.0
Connecticut,1990-10-01,292.5
Delaware,1990-10-01,46.9
Florida,1990-10-01,500.0
Georgia,1990-10-01,513.9
Hawaii,1990-10-01,20.4
Iowa,1990-10-01,219.8
Idaho,1990-10-01,53.2
Illinois,1990-10-01,908.7
