,variable,value
Arkansas,2015-06-01,1334831.0
Arizona,2015-06-01,3110554.0
California,2015-06-01,18848420.0
Colorado,2015-06-01,2815094.0
Connecticut,2015-06-01,1903378.0
District of Columbia,2015-06-01,381214.0
Delaware,2015-06-01,461824.0
Florida,2015-06-01,9586944.0
Georgia,2015-06-01,4734169.0
Hawaii,2015-06-01,682503.0
Iowa,2015-06-01,1702889.0
Idaho,2015-06-01,799382.0
Illinois,2015-06-01,6556268.0
Indiana,2015-06-01,3261547.0
Kansas,2015-06-01,1496942.0
Kentucky,2015-06-01,1978069.0
Louisiana,2015-06-01,2150797.0
Massachusetts,2015-06-01,3621649.0
Maryland,2015-06-01,3170663.0
Maine,2015-06-01,689522.0
Michigan,2015-06-01,4771847.0
Minnesota,2015-06-01,3018332.0
Missouri,2015-06-01,3051939.0
Mississippi,2015-06-01,1260610.0
Montana,2015-06-01,520020.0
North Carolina,2015-06-01,4709361.0
North Dakota,2015-06-01,412415.0
Nebraska,2015-06-01,1013724.0
New Hampshire,2015-06-01,747698.0
New Jersey,2015-06-01,4597878.0
New Mexico,2015-06-01,942102.0
Nevada,2015-06-01,1395265.0
New York,2015-06-01,9742165.0
Ohio,2015-06-01,5724503.0
Oklahoma,2015-06-01,1828173.0
Oregon,2015-06-01,1972552.0
Pennsylvania,2015-06-01,6473711.0
Rhode Island,2015-06-01,565447.0
South Carolina,2015-06-01,2242091.0
South Dakota,2015-06-01,449968.0
Tennessee,2015-06-01,3078968.0
Texas,2015-06-01,13012436.0
Utah,2015-06-01,1460409.0
Virginia,2015-06-01,4228911.0
Vermont,2015-06-01,351857.0
Washington,2015-06-01,3544400.0
Wisconsin,2015-06-01,3090401.0
West Virginia,2015-06-01,793510.0
Wyoming,2015-06-01,300779.0
Alaska,2015-07-01,361138.0
Alabama,2015-07-01,2171593.0
Arkansas,2015-07-01,1334168.0
Arizona,2015-07-01,3113926.0
California,2015-07-01,18839426.0
Colorado,2015-07-01,2816411.0
Connecticut,2015-07-01,1899802.0
District of Columbia,2015-07-01,381639.0
Delaware,2015-07-01,462553.0
Florida,2015-07-01,9594674.0
Georgia,2015-07-01,4732561.0
Hawaii,2015-07-01,682855.0
Iowa,2015-07-01,1701152.0
Idaho,2015-07-01,800658.0
Illinois,2015-07-01,6558362.0
Indiana,2015-07-01,3266590.0
Kansas,2015-07-01,1496837.0
Kentucky,2015-07-01,1975923.0
Louisiana,2015-07-01,2144721.0
Massachusetts,2015-07-01,3617532.0
Maryland,2015-07-01,3170232.0
Maine,2015-07-01,688316.0
Michigan,2015-07-01,4773803.0
Minnesota,2015-07-01,3018015.0
Missouri,2015-07-01,3051015.0
Mississippi,2015-07-01,1260747.0
Montana,2015-07-01,520051.0
North Carolina,2015-07-01,4710903.0
North Dakota,2015-07-01,412068.0
Nebraska,2015-07-01,1014675.0
New Hampshire,2015-07-01,746770.0
New Jersey,2015-07-01,4594206.0
New Mexico,2015-07-01,941385.0
Nevada,2015-07-01,1395389.0
New York,2015-07-01,9736639.0
Ohio,2015-07-01,5720710.0
Oklahoma,2015-07-01,1826170.0
Oregon,2015-07-01,1976675.0
Pennsylvania,2015-07-01,6477709.0
Rhode Island,2015-07-01,564458.0
South Carolina,2015-07-01,2241576.0
South Dakota,2015-07-01,450029.0
Tennessee,2015-07-01,3079697.0
Texas,2015-07-01,13021327.0
Utah,2015-07-01,1463234.0
Virginia,2015-07-01,4226202.0
Vermont,2015-07-01,351320.0
Washington,2015-07-01,3549209.0
Wisconsin,2015-07-01,3090169.0
West Virginia,2015-07-01,792080.0
Wyoming,2015-07-01,300513.0
Alaska,2015-08-01,360803.0
Alabama,2015-08-01,2170789.0
Arkansas,2015-08-01,1333299.0
Arizona,2015-08-01,3116760.0
California,2015-08-01,18832394.0
Colorado,2015-08-01,2818352.0
Connecticut,2015-08-01,1897248.0
District of Columbia,2015-08-01,382112.0
Delaware,2015-08-01,463324.0
Florida,2015-08-01,9603740.0
Georgia,2015-08-01,4730889.0
Hawaii,2015-08-01,683337.0
Iowa,2015-08-01,1700151.0
Idaho,2015-08-01,801819.0
Illinois,2015-08-01,6560595.0
Indiana,2015-08-01,3272212.0
Kansas,2015-08-01,1497096.0
Kentucky,2015-08-01,1975210.0
Louisiana,2015-08-01,2138864.0
Massachusetts,2015-08-01,3613335.0
Maryland,2015-08-01,3169189.0
Maine,2015-08-01,687297.0
Michigan,2015-08-01,4775840.0
Minnesota,2015-08-01,3017335.0
Missouri,2015-08-01,3050439.0
Mississippi,2015-08-01,1260887.0
Montana,2015-08-01,520343.0
North Carolina,2015-08-01,4712347.0
North Dakota,2015-08-01,411965.0
Nebraska,2015-08-01,1015778.0
New Hampshire,2015-08-01,746324.0
New Jersey,2015-08-01,4591020.0
New Mexico,2015-08-01,940443.0
Nevada,2015-08-01,1395502.0
New York,2015-08-01,9732451.0
Ohio,2015-08-01,5717012.0
