,GeoFIPS,State,LineCode,Description,value,Year,Quarter
150,55000,Wisconsin,1,"Personal income (millions of dollars, seasonally adjusted)",263518.1,2015,Q1
151,55000,Wisconsin,2,"Population (midperiod, persons) 1",5789333.0,2015,Q1
152,55000,Wisconsin,3,Per capita personal income (dollars) 2,45518.0,2015,Q1
153,56000,Wyoming,1,"Personal income (millions of dollars, seasonally adjusted)",33121.6,2015,Q1
154,56000,Wyoming,2,"Population (midperiod, persons) 1",582725.0,2015,Q1
155,56000,Wyoming,3,Per capita personal income (dollars) 2,56839.0,2015,Q1
156,0,United States,1,"Personal income (millions of dollars, seasonally adjusted)",15423817.5,2015,Q2
157,0,United States,2,"Population (midperiod, persons) 1",321493605.0,2015,Q2
158,0,United States,3,Per capita personal income (dollars) 2,47976.0,2015,Q2
159,1000,Alabama,1,"Personal income (millions of dollars, seasonally adjusted)",187010.9,2015,Q2
160,1000,Alabama,2,"Population (midperiod, persons) 1",4906482.0,2015,Q2
161,1000,Alabama,3,Per capita personal income (dollars) 2,38115.0,2015,Q2
162,2000,Alaska,1,"Personal income (millions of dollars, seasonally adjusted)",41949.9,2015,Q2
163,2000,Alaska,2,"Population (midperiod, persons) 1",738942.0,2015,Q2
164,2000,Alaska,3,Per capita personal income (dollars) 2,56770.0,2015,Q2
165,4000,Arizona,1,"Personal income (millions of dollars, seasonally adjusted)",266834.8,2015,Q2
166,4000,Arizona,2,"Population (midperiod, persons) 1",6696236.0,2015,Q2
167,4000,Arizona,3,Per capita personal income (dollars) 2,39848.0,2015,Q2
168,5000,Arkansas,1,"Personal income (millions of dollars, seasonally adjusted)",115993.0,2015,Q2
169,5000,Arkansas,2,"Population (midperiod, persons) 1",2969032.0,2015,Q2
170,5000,Arkansas,3,Per capita personal income (dollars) 2,39068.0,2015,Q2
171,6000,California,1,"Personal income (millions of dollars, seasonally adjusted)",2089561.3,2015,Q2
172,6000,California,2,"Population (midperiod, persons) 1",38926463.0,2015,Q2
173,6000,California,3,Per capita personal income (dollars) 2,53680.0,2015,Q2
174,8000,Colorado,1,"Personal income (millions of dollars, seasonally adjusted)",279882.6,2015,Q2
175,8000,Colorado,2,"Population (midperiod, persons) 1",5428933.0,2015,Q2
176,8000,Colorado,3,Per capita personal income (dollars) 2,51554.0,2015,Q2
177,9000,Connecticut,1,"Personal income (millions of dollars, seasonally adjusted)",238470.1,2015,Q2
178,9000,Connecticut,2,"Population (midperiod, persons) 1",3612171.0,2015,Q2
179,9000,Connecticut,3,Per capita personal income (dollars) 2,66018.0,2015,Q2
180,10000,Delaware,1,"Personal income (millions of dollars, seasonally adjusted)",44703.2,2015,Q2
181,10000,Delaware,2,"Population (midperiod, persons) 1",943534.0,2015,Q2
182,10000,Delaware,3,Per capita personal income (dollars) 2,47379.0,2015,Q2
183,11000,District of Columbia,1,"Personal income (millions of dollars, seasonally adjusted)",49690.8,2015,Q2
184,11000,District of Columbia,2,"Population (midperiod, persons) 1",663759.0,2015,Q2
