"REF_DATE","GEO","DGUID","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Canada","2016A000011124","Current transfers paid","Dollars","81","millions","6","v62790682","1.8","515136","","","","0"
"2017","Canada","2016A000011124","Current transfers paid","Dollars","81","millions","6","v62790682","1.8","530401","","","","0"
"2018","Canada","2016A000011124","Current transfers paid","Dollars","81","millions","6","v62790682","1.8","559134","","","","0"
"2019","Canada","2016A000011124","Current transfers paid","Dollars","81","millions","6","v62790682","1.8","580120","","","","0"
"2020","Canada","2016A000011124","Current transfers paid","Dollars","81","millions","6","v62790682","1.8","584040","","","","0"
"2021","Canada","2016A000011124","Current transfers paid","Dollars","81","millions","6","v62790682","1.8","642478","","","","0"
"2022","Canada","2016A000011124","Current transfers paid","Dollars","81","millions","6","v62790682","1.8","685931","","","","0"
"2023","Canada","2016A000011124","Current transfers paid","Dollars","81","millions","6","v62790682","1.8","729198","","","","0"
"2024","Canada","2016A000011124","Current transfers paid","Dollars","81","millions","6","v62790682","1.8","780465","","","","0"
"2015","Canada","2016A000011124","Household final consumption expenditure","Dollars","81","millions","6","v62790683","1.9","1122079","","","","0"
"2016","Canada","2016A000011124","Household final consumption expenditure","Dollars","81","millions","6","v62790683","1.9","1153668","","","","0"
"2017","Canada","2016A000011124","Household final consumption expenditure","Dollars","81","millions","6","v62790683","1.9","1209153","","","","0"
"2018","Canada","2016A000011124","Household final consumption expenditure","Dollars","81","millions","6","v62790683","1.9","1260446","","","","0"
"2019","Canada","2016A000011124","Household final consumption expenditure","Dollars","81","millions","6","v62790683","1.9","1300816","","","","0"
"2020","Canada","2016A000011124","Household final consumption expenditure","Dollars","81","millions","6","v62790683","1.9","1225996","","","","0"
"2021","Canada","2016A000011124","Household final consumption expenditure","Dollars","81","millions","6","v62790683","1.9","1336357","","","","0"
"2022","Canada","2016A000011124","Household final consumption expenditure","Dollars","81","millions","6","v62790683","1.9","1511382","","","","0"
"2023","Canada","2016A000011124","Household final consumption expenditure","Dollars","81","millions","6","v62790683","1.9","1602272","","","","0"
"2024","Canada","2016A000011124","Household final consumption expenditure","Dollars","81","millions","6","v62790683","1.9","1680970","","","","0"
"2015","Canada","2016A000011124","Interest paid","Dollars","81","millions","6","v62790684","1.10","77328","","","","0"
"2016","Canada","2016A000011124","Interest paid","Dollars","81","millions","6","v62790684","1.10","78363","","","","0"
"2017","Canada","2016A000011124","Interest paid","Dollars","81","millions","6","v62790684","1.10","82350","","","","0"
"2018","Canada","2016A000011124","Interest paid","Dollars","81","millions","6","v62790684","1.10","93016","","","","0"
"2019","Canada","2016A000011124","Interest paid","Dollars","81","millions","6","v62790684","1.10","102721","","","","0"
"2020","Canada","2016A000011124","Interest paid","Dollars","81","millions","6","v62790684","1.10","96909","","","","0"
"2021","Canada","2016A000011124","Interest paid","Dollars","81","millions","6","v62790684","1.10","91636","","","","0"
"2022","Canada","2016A000011124","Interest paid","Dollars","81","millions","6","v62790684","1.10","110595","","","","0"
"2023","Canada","2016A000011124","Interest paid","Dollars","81","millions","6","v62790684","1.10","157860","","","","0"
"2024","Canada","2016A000011124","Interest paid","Dollars","81","millions","6","v62790684","1.10","173050","","","","0"
"2015","Canada","2016A000011124","Mortgage interest paid","Dollars","81","millions","6","v62790685","1.11","40244","","","","0"
"2016","Canada","2016A000011124","Mortgage interest paid","Dollars","81","millions","6","v62790685","1.11","40107","","","","0"
"2017","Canada","2016A000011124","Mortgage interest paid","Dollars","81","millions","6","v62790685","1.11","41807","","","","0"
"2018","Canada","2016A000011124","Mortgage interest paid","Dollars","81","millions","6","v62790685","1.11","47605","","","","0"
"2019","Canada","2016A000011124","Mortgage interest paid","Dollars","81","millions","6","v62790685","1.11","53807","","","","0"
"2020","Canada","2016A000011124","Mortgage interest paid","Dollars","81","millions","6","v62790685","1.11","52431","","","","0"
"2021","Canada","2016A000011124","Mortgage interest paid","Dollars","81","millions","6","v62790685","1.11","50550","","","","0"
"2022","Canada","2016A000011124","Mortgage interest paid","Dollars","81","millions","6","v62790685","1.11","62326","","","","0"
"2023","Canada","2016A000011124","Mortgage interest paid","Dollars","81","millions","6","v62790685","1.11","93078","","","","0"
"2024","Canada","2016A000011124","Mortgage interest paid","Dollars","81","millions","6","v62790685","1.11","102201","","","","0"
